,Drug_ID1,Drug_ID2,Weight
43961,DB00136,DB14583,0.5012096376911032
44060,DB00136,DB06777,0.5089998489284122
44115,DB00136,DB00834,0.5054692262551069
44211,DB00136,DB01436,0.6702379695027311
44316,DB00136,DB01070,0.6723119301389674
44322,DB00136,DB01395,0.5041015943128917
44413,DB00136,DB00153,0.68553270609319
44475,DB00136,DB11672,0.5059644793721356
44498,DB00136,DB02300,0.6852030148660772
44503,DB00136,DB04540,0.6252047711572821
44524,DB00136,DB00136,0.8333333333333334
44550,DB00136,DB09389,0.5021847611880385
44662,DB00136,DB00687,0.5004104436845277
44753,DB00136,DB08804,0.5029843008373135
44814,DB00136,DB11094,0.5729005310457517
44849,DB00136,DB00146,0.7383871314372942
44892,DB00136,DB09123,0.5001181445666059
45142,DB00136,DB06410,0.6941945937873358
45268,DB00136,DB06412,0.5060063786043568
45338,DB00136,DB01420,0.502552865320041
45700,DB00138,DB00138,0.8333333333333334
47715,DB00139,DB00139,0.8333333333333334
49037,DB00139,DB00128,0.5093176624675312
50854,DB00140,DB00140,0.8333333333333334
52596,DB00141,DB00141,0.8333333333333334
53775,DB00142,DB00142,0.8333333333333334
55134,DB00143,DB00143,0.8333333333333334
57100,DB00145,DB00145,0.6666666666666666
58677,DB00146,DB09091,0.5042850472873944
58836,DB00146,DB00910,0.750297619047619
58923,DB00146,DB00169,0.8024691358024691
59025,DB00146,DB14544,0.5012381358139059
59069,DB00146,DB00769,0.5017972170777049
59166,DB00146,DB00977,0.5001619872570106
59180,DB00146,DB06777,0.5122619294704238
59235,DB00146,DB00834,0.5109720202951347
59331,DB00146,DB01436,0.6650274857565138
59436,DB00146,DB01070,0.7412358882947118
59533,DB00146,DB00153,0.7577777777777778
59595,DB00146,DB11672,0.5114538148846783
59618,DB00146,DB02300,0.7429231658001155
59623,DB00146,DB04540,0.6340719073924629
59644,DB00146,DB00136,0.7383871314372942
59670,DB00146,DB09389,0.5008024635672145
59873,DB00146,DB08804,0.5037960719650685
59934,DB00146,DB11094,0.5961960784313725
59969,DB00146,DB00146,0.8333333333333334
60092,DB00146,DB06789,0.5007446315525425
60262,DB00146,DB06410,0.7498514557338086
60388,DB00146,DB06412,0.5060145779184129
60458,DB00146,DB01420,0.5018689343168699
60611,DB00148,DB00148,0.8333333333333334
63550,DB00150,DB00150,0.8333333333333334
64819,DB00151,DB00151,0.6666666666666666
67665,DB00152,DB00152,0.6666666666666666
68094,DB00153,DB08867,0.5005579877923906
68118,DB00153,DB04839,0.500131102043426
68286,DB00153,DB00910,0.7674936386768448
68373,DB00153,DB00169,0.7745098039215687
68445,DB00153,DB00227,0.505454001096993
68630,DB00153,DB06777,0.5023267309339103
68685,DB00153,DB00834,0.5124119947523506
68781,DB00153,DB01436,0.6433217916102246
68886,DB00153,DB01070,0.7935647143890093
68983,DB00153,DB00153,0.8333333333333334
69045,DB00153,DB11672,0.5150384225159217
69068,DB00153,DB02300,0.7680050987890376
69073,DB00153,DB04540,0.624565074356218
69094,DB00153,DB00136,0.68553270609319
69384,DB00153,DB11094,0.5961960784313725
69419,DB00153,DB00146,0.7577777777777778
69712,DB00153,DB06410,0.804049168474331
70838,DB00156,DB00156,0.8333333333333334
73552,DB00157,DB00157,0.8333333333333334
74811,DB00158,DB00158,0.8333333333333334
75618,DB00159,DB02266,0.5619929034490191
75690,DB00159,DB01393,0.5526345514160725
75691,DB00159,DB00132,0.6582051282193329
75718,DB00159,DB00963,0.5007775968119323
75723,DB00159,DB03193,0.507648478857768
75730,DB00159,DB01014,0.5804621798155466
75792,DB00159,DB11133,0.5285232703162985
75824,DB00159,DB00159,0.8333333333333334
75853,DB00159,DB00197,0.5384113216725022
75875,DB00159,DB09214,0.5024317253354527
75906,DB00159,DB01419,0.5000245048340547
75912,DB00159,DB00984,0.5001470371430513
75946,DB00159,DB04224,0.5695264909156583
76020,DB00159,DB09212,0.5019567490842651
76054,DB00159,DB03756,0.6113369351743975
76071,DB00159,DB00210,0.5057838080074618
76339,DB00159,DB00412,0.5836428461041362
76370,DB00159,DB00573,0.6052601719885493
76409,DB00159,DB00812,0.5005604325230748
76500,DB00159,DB00465,0.5040493794954797
76547,DB00159,DB01241,0.503592781177397
76605,DB00159,DB11672,0.5092992562954936
76738,DB00159,DB01283,0.5002772997234001
76758,DB00159,DB00461,0.5025366736484086
76767,DB00159,DB01132,0.5675686863372226
76896,DB00159,DB00912,0.5308500170615493
76935,DB00159,DB06802,0.5013684358033
76997,DB00159,DB01118,0.5238879470759793
77047,DB00159,DB00731,0.5254273256913072
77067,DB00159,DB00328,0.5776016710127297
77092,DB00159,DB00749,0.5317058124704667
77109,DB00159,DB13873,0.5510476761005199
77151,DB00159,DB13501,0.5102171269500905
77162,DB00159,DB00991,0.5051861387369772
77251,DB00159,DB00966,0.5257173976184982
77276,DB00159,DB01039,0.5478713218704528
77361,DB00159,DB01067,0.5224282514259656
77376,DB00159,DB06736,0.5020810988386745
77558,DB00161,DB00161,0.8333333333333334
79708,DB00162,DB00755,0.5235412744922376
81175,DB00162,DB00162,0.8333333333333334
81476,DB00163,DB14002,0.7893401015228427
81736,DB00163,DB00163,0.8333333333333334
82752,DB00163,DB14001,0.7685057471264368
83255,DB00165,DB00165,0.8333333333333334
85546,DB00166,DB00166,0.8333333333333334
87027,DB00169,DB09091,0.5016643653901037
87186,DB00169,DB00910,0.7406749555950266
87252,DB00169,DB00984,0.5019715739731007
87273,DB00169,DB00169,0.8333333333333334
87345,DB00169,DB00227,0.5027672233630152
87431,DB00169,DB14583,0.501679574638511
87530,DB00169,DB06777,0.5133545438516395
87585,DB00169,DB00834,0.510528577243933
87681,DB00169,DB01436,0.6826850446340792
87786,DB00169,DB01070,0.7532299741602065
87883,DB00169,DB00153,0.7745098039215687
87945,DB00169,DB11672,0.5108759131073901
87968,DB00169,DB02300,0.7481684981684982
87973,DB00169,DB04540,0.6421446828608645
87994,DB00169,DB00136,0.7184050489168413
88223,DB00169,DB08804,0.5088976886227822
88284,DB00169,DB11094,0.5961960784313725
88319,DB00169,DB00146,0.8024691358024691
88442,DB00169,DB06789,0.500111363891411
88612,DB00169,DB06410,0.7600767754318619
88738,DB00169,DB06412,0.503310076828035
88808,DB00169,DB01420,0.5037402393502767
89293,DB00170,DB09332,0.5566644036447969
90525,DB00170,DB00170,0.8333333333333334
92042,DB00173,DB00173,0.8333333333333334
92917,DB00174,DB00174,0.8333333333333334
94397,DB00174,DB00128,0.557190302927805
94905,DB00175,DB00227,0.5689485018564787
94944,DB00175,DB00439,0.7087126137841352
94964,DB00175,DB01098,0.8680468423253869
95516,DB00175,DB08860,0.8690958164642376
95622,DB00175,DB00175,1.0
96114,DB00175,DB01095,0.8669429097605894
96203,DB00175,DB01076,0.5247886087049952
96279,DB00175,DB00641,0.653774534623771
96447,DB00176,DB01074,0.519147600048854
96568,DB00176,DB00199,0.570788475606488
96767,DB00176,DB01218,0.591540538299989
97033,DB00176,DB11386,0.5849175473674189
97210,DB00176,DB11642,0.5942714694036638
97479,DB00176,DB00604,0.5250134739846181
97540,DB00176,DB00176,0.8333333333333334
97797,DB00176,DB00346,0.5053345305322875
97798,DB00176,DB00204,0.5346108502755285
97958,DB00176,DB01211,0.5443233790490817
98116,DB00176,DB01195,0.5268701164705704
98144,DB00176,DB01162,0.5017738378107207
98195,DB00176,DB00455,0.5971383425124576
98256,DB00176,DB11090,0.5849175473674189
98282,DB00177,DB06155,0.5187076978939723
