,Disease1,Disease2,Sim_score
1096,D000172,D008582,0.2331077793003272
1097,D000172,D008583,0.2190988275659135
1098,D000172,D008584,0.2012554557705393
1099,D000172,D008585,0.2338634677966973
1100,D000172,D008586,0.2239587244341304
1101,D000172,D008587,0.2410278323866739
1103,D000172,D008590,0.2869209661260708
1105,D000172,D008607,0.2182789617767465
1106,D000172,D008831,0.25940575
1107,D000172,D008881,0.31293952
1108,D000172,D009069,0.344089071
1109,D000172,D009072,0.2610632605355144
1110,D000172,D009081,0.3307220947049462
1111,D000172,D009103,0.2192686617589057
1112,D000172,D009120,0.2504729217342405
1113,D000172,D009122,0.18750326075444
1115,D000172,D009127,0.24830556848832
1116,D000172,D009128,0.2720475123624492
1117,D000172,D009133,0.1807049911867455
1118,D000172,D009134,0.240597555
1119,D000172,D009135,0.3662876728804083
1120,D000172,D009136,0.2971762607860774
1122,D000172,D009157,0.1798291772358614
1123,D000172,D009187,0.2850265135551661
1124,D000172,D009188,0.2382800957491134
1125,D000172,D009207,0.1743688661585311
1126,D000172,D009220,0.307402658
1128,D000172,D009223,0.2541449192983455
1129,D000172,D009224,0.230580541
1131,D000172,D009347,0.4839466279145267
1132,D000172,D009408,0.1950089803377535
1133,D000172,D009421,0.23286220653527
1134,D000172,D009423,0.2586242498803051
1135,D000172,D009436,0.205435446744719
1136,D000172,D009437,0.1880176380261609
1137,D000172,D009443,0.1744003407585025
1139,D000172,D009455,0.1906086020052948
1141,D000172,D009459,0.2679294262488171
1142,D000172,D009461,0.2893910506142194
1144,D000172,D009468,0.2709041347119688
1148,D000172,D009494,0.2295155622084386
1149,D000172,D009542,0.2552933876325813
1150,D000172,D009759,0.1885830100474169
1151,D000172,D009800,0.2240684148637345
1152,D000172,D009849,0.2354450990950589
1153,D000172,D009886,0.1920401614537632
1154,D000172,D009896,0.1743989496971433
1155,D000172,D009901,0.2072604965038691
1156,D000172,D009902,0.1755114265032888
1159,D000172,D010243,0.2222110268735847
1161,D000172,D010245,0.248085541
1162,D000172,D010264,0.1793279071660293
1163,D000172,D010291,0.1774034762317356
1165,D000172,D010300,0.3234383722286186
1166,D000172,D010301,0.2339637212951294
1167,D000172,D010302,0.2884117651602728
1168,D000172,D010468,0.2012212794279601
1169,D000172,D010523,0.2456651762992601
1170,D000172,D010524,0.2184158226543626
1172,D000172,D010661,0.2796809346651415
1174,D000172,D010871,0.2593110277223464
1175,D000172,D010899,0.5203136378987709
1176,D000172,D010900,0.7028232413486442
1177,D000172,D010911,0.6075663334416579
1178,D000172,D011007,0.2637001571538648
1179,D000172,D011051,0.2583027517497168
1180,D000172,D011052,0.2035433398084795
1181,D000172,D011115,0.2034812417442299
1183,D000172,D011129,0.1822762254163436
1186,D000172,D011557,0.2171484061137567
1187,D000172,D011559,0.284396135404046
1188,D000172,D011595,0.1773337857030004
1189,D000172,D011596,0.1886447718756945
1190,D000172,D011681,0.1787275240535455
1191,D000172,D011782,0.1714098598593035
1196,D000172,D012035,0.233125129497087
1199,D000172,D012202,0.2616483909972945
1200,D000172,D012415,0.29783329674135
1201,D000172,D012497,0.2225500452976615
1204,D000172,D012608,0.2282803771704581
1205,D000172,D012618,0.1947180953903565
1206,D000172,D012640,0.2097224156896017
1207,D000172,D012678,0.2460964170897735
1208,D000172,D012791,0.2349300631518863
1209,D000172,D012851,0.2696223612519779
1210,D000172,D012887,0.197304897683559
1211,D000172,D012891,0.1951529527676721
1212,D000172,D012892,0.1708192255306013
1213,D000172,D012893,0.2339642891892456
1215,D000172,D013035,0.1779176818704515
1216,D000172,D013036,0.2717139389356856
1217,D000172,D013064,0.1974740383570418
1218,D000172,D013106,0.3033300620380569
1219,D000172,D013117,0.2510279962201527
1220,D000172,D013118,0.333494194
1221,D000172,D013119,0.2859878244757891
1222,D000172,D013120,0.2552985252208923
1223,D000172,D013132,0.3055514093525233
1224,D000172,D013226,0.1712723058471683
1225,D000172,D013285,0.2006056782301028
1228,D000172,D013344,0.253289278
1229,D000172,D013345,0.301162116
1230,D000172,D013349,0.2565756817592378
1231,D000172,D013353,0.2622986090079911
1232,D000172,D013354,0.20314193
1233,D000172,D013494,0.260607924336636
1235,D000172,D013575,0.1759105295633937
1236,D000172,D013595,0.2425801473407418
1237,D000172,D013606,0.1975049242260588
1241,D000172,D013661,0.2406362664849247
1242,D000172,D013700,0.2734249744846342
1244,D000172,D013786,0.2796034199527843
1246,D000172,D013981,0.2578150921410943
1248,D000172,D014125,0.2193953511665323
1249,D000172,D014202,0.182212306884935
1252,D000172,D014390,0.2361882379559673
1254,D000172,D014474,0.2068058007571581
1256,D000172,D014653,0.2533539372701082
1257,D000172,D014715,0.2843281400207751
1258,D000172,D014717,0.177098259300036
1259,D000172,D014786,0.214018040895102
1261,D000172,D014832,0.1805579896824322
1262,D000172,D014854,0.2362638755107268
1263,D000172,D014884,0.2374007462424991
1264,D000172,D014899,0.2572719780073257
1265,D000172,D014901,0.2607110846014213
1266,D000172,D014929,0.466165074216733
1268,D000172,D015140,0.2773583253746004
1269,D000172,D015161,0.2383296018562068
1270,D000172,D015173,0.3377738424617359
1271,D000172,D015174,0.2010993581706232
1272,D000172,D015175,0.5295551047589828
1273,D000172,D015192,0.311045452
1274,D000172,D015211,0.2299746010488335
1275,D000172,D015324,0.2135931419078787
1276,D000172,D015325,0.2238953837169172
1281,D000172,D015493,0.2146301757778574
1283,D000172,D015526,0.2688594223237046
1286,D000172,D015673,0.271608781556755
1288,D000172,D015835,0.3026614573331782
1289,D000172,D015840,0.1688950841395918
1294,D000172,D016098,0.1936489600196161
1295,D000172,D016135,0.1756770093997997
1298,D000172,D016142,0.2318711785154895
1299,D000172,D016262,0.2300087238608896
1300,D000172,D016472,0.2036707050416781
1301,D000172,D016489,0.1842033781152344
1304,D000172,D016537,0.2225451966811508
1305,D000172,D016543,0.242766051316065
1306,D000172,D016545,0.2522933121968265
1307,D000172,D016603,0.2193957363715987
1308,D000172,D016643,0.2244800489862082
1309,D000172,D016657,0.2500906265277715
1311,D000172,D016750,0.2071408867251636
1312,D000172,D016779,0.2157664129280401
1313,D000172,D016781,0.2479718305045129
1314,D000172,D016862,0.1977039670977494
1316,D000172,D016893,0.296448054543927
1317,D000172,D016919,0.2146621013311144
1318,D000172,D016920,0.273953234
1319,D000172,D016921,0.2327386845662324
1320,D000172,D017029,0.2626720300989372
1321,D000172,D017034,0.2533396860188014
1323,D000172,D017042,0.208594380737569
1324,D000172,D017096,0.2732732076610754
1325,D000172,D017109,0.2092212859490679
1326,D000172,D017204,0.214950000159387
1327,D000172,D017237,0.287517238459745
1328,D000172,D017240,0.2782781408524851
1329,D000172,D017241,0.2523736330385041
1330,D000172,D017243,0.226179824923301
1331,D000172,D017246,0.2452941191302921
1332,D000172,D017253,0.1793879914493366
1333,D000172,D017285,0.2850340830719601
1334,D000172,D017590,0.2481278535583234
1336,D000172,D017624,0.204661384
1337,D000172,D017696,0.2247498407132152
1340,D000172,D017825,0.2204488027559779
1341,D000172,D017827,0.2350052952789838
1343,D000172,D018306,0.2403084476766033
1344,D000172,D018317,0.2112503775161468
1348,D000172,D018458,0.2709538714442471
