Disease,Drug
D001766,DB00126
D001766,DB09121
D001766,DB00993
D001766,DB00207
D001766,DB00443
D001766,DB00201
D001766,DB00262
D001766,DB00608
D001766,DB00477
D001766,DB00537
D001766,DB00515
D001766,DB00242
D001766,DB00907
D001766,DB04838
D001766,DB00987
D001766,DB01234
D001766,DB01119
D001766,DB00330
D001766,DB00898
D001766,DB00441
D001766,DB00741
D001766,DB00951
D001766,DB01221
D001766,DB00281
D001766,DB01206
D001766,DB00961
D001766,DB00331
D001766,DB00333
D001766,DB00563
D001766,DB00959
D001766,DB00325
D001766,DB00368
D001766,DB00904
D001766,DB01062
D001766,DB01113
D001766,DB00914
D001766,DB00721
D001766,DB00165
D001766,DB00468
D001766,DB01045
D001766,DB00302
D001766,DB00376
D001766,DB00541
D001766,DB00162
D001766,DB00682
D019575,DB00316
D019575,DB06151
D019575,DB00290
D019575,DB01200
D019575,DB00297
D019575,DB00515
D019575,DB00091
D019575,DB00441
D019575,DB00959
D019575,DB01115
D019575,DB00325
D019575,DB00864
D019575,DB00570
D019575,DB00541
D019575,DB00309
D001906,DB00907
D020968,DB00864
D020516,DB00297
D020516,DB00987
D020516,DB01109
D001922,DB00415
D001922,DB00446
D001922,DB01234
D001922,DB00563
D001922,DB00916
D001922,DB01263
D001922,DB00635
D001922,DB01045
D001925,DB00182
D001925,DB00201
D001925,DB00564
D001925,DB00907
D001925,DB00158
D001925,DB01085
D001925,DB00864
D001926,DB00819
D001926,DB00563
D001927,DB00316
D001927,DB00718
D001927,DB00437
D001927,DB11081
D001927,DB01223
D001927,DB01118
D001927,DB00321
D001927,DB00182
D001927,DB00673
D001927,DB00126
D001927,DB00928
D001927,DB00993
D001927,DB00181
D001927,DB12783
D001927,DB00290
D001927,DB00297
D001927,DB01101
D001927,DB00564
D001927,DB00190
D001927,DB00262
D001927,DB01413
D001927,DB00493
D001927,DB00438
D001927,DB01212
D001927,DB01112
D001927,DB00608
D001927,DB00122
D001927,DB00568
D001927,DB00537
D001927,DB01068
D001927,DB00907
D001927,DB01394
D001927,DB00260
D001927,DB00091
D001927,DB00987
D001927,DB00970
D001927,DB01406
D001927,DB00746
D001927,DB01234
D001927,DB00829
D001927,DB00586
D001927,DB00390
D001927,DB00320
D001927,DB00975
D001927,DB00822
D001927,DB01248
D001927,DB00997
D001927,DB00783
D001927,DB00898
D001927,DB00609
D001927,DB00593
D001927,DB00813
D001927,DB01216
D001927,DB04841
D001927,DB00544
D001927,DB00472
D001927,DB00176
D001927,DB00158
D001927,DB00695
D001927,DB00996
D001927,DB01004
D001927,DB00502
D001927,DB01159
D001927,DB00756
D001927,DB00999
D001927,DB00741
D001927,DB01005
D001927,DB01050
D001927,DB01181
D001927,DB01598
D001927,DB00328
D001927,DB01592
D001927,DB00753
D001927,DB00951
D001927,DB01221
D001927,DB00581
D001927,DB01202
D001927,DB01235
D001927,DB14509
D001927,DB01206
D001927,DB00408
D001927,DB00358
D001927,DB01065
D001927,DB01043
D001927,DB00563
D001927,DB01028
D001927,DB09241
D001927,DB00959
D001927,DB00916
D001927,DB00683
D001927,DB01017
D001927,DB00295
D001927,DB01183
D001927,DB00994
D001927,DB00184
D001927,DB00325
D001927,DB01092
D001927,DB00776
D001927,DB01229
D001927,DB00312
D001927,DB01174
D001927,DB00252
D001927,DB00794
D001927,DB01168
D001927,DB00818
D001927,DB00550
D001927,DB00205
D001927,DB01045
D001927,DB00533
D001927,DB00360
D001927,DB00747
D001927,DB01236
D001927,DB00877
D001927,DB00359
D001927,DB00795
D001927,DB00605
D001927,DB00864
D001927,DB00277
D001927,DB00152
D001927,DB00273
D001927,DB00755
D001927,DB00376
D001927,DB00313
D001927,DB01080
D001927,DB00541
D001927,DB00162
D001927,DB00163
D001928,DB00543
D001928,DB01393
D001928,DB00672
D001928,DB00091
D001928,DB00746
D001928,DB00343
D001928,DB00959
D001928,DB00776
D001928,DB00914
D001928,DB00433
D001928,DB00428
D001928,DB00864
D001928,DB01124
D001928,DB00273
D001928,DB00313
D001928,DB11094
D001929,DB00316
D001929,DB00819
D001929,DB06151
D001929,DB01200
D001929,DB00201
D001929,DB09061
D001929,DB00262
D001929,DB00477
D001929,DB00907
D001929,DB11672
D001929,DB00987
D001929,DB00694
D001929,DB00746
D001929,DB01234
D001929,DB00829
D001929,DB08809
D001929,DB00470
D001929,DB00584
D001929,DB00696
D001929,DB00898
D001929,DB00292
D001929,DB00502
D001929,DB01109
D001929,DB00756
D001929,DB00741
D001929,DB00328
D001929,DB01206
D001929,DB00186
D001929,DB00653
D001929,DB01065
D001929,DB00333
D001929,DB00563
D001929,DB00968
D001929,DB00916
D001929,DB01017
D001929,DB00184
D001929,DB00393
D001929,DB00727
D001929,DB00325
D001929,DB01092
D001929,DB09140
D001929,DB00107
D001929,DB01229
D001929,DB00652
D001929,DB00692
D001929,DB00388
D001929,DB00252
D001929,DB01085
D001929,DB01132
D001929,DB00818
D001929,DB00852
D001929,DB00412
D001929,DB01104
D001929,DB00641
D001929,DB00864
D001929,DB00302
D001929,DB00755
D001929,DB00313
D001929,DB00309
D001929,DB00162
D001929,DB00744
D020201,DB00396
D020520,DB01418
D020520,DB00459
D020520,DB06441
D020520,DB00515
D020520,DB01242
D020520,DB00363
D020520,DB00822
D020520,DB00584
D020520,DB00696
D020520,DB00544
D020520,DB00472
D020520,DB01109
D020520,DB00422
D020520,DB00959
D020520,DB00393
D020520,DB01092
D020520,DB01229
D020520,DB00252
D020520,DB00641
D020520,DB00877
D020520,DB01041
D020520,DB00163
D001930,DB06151
D001930,DB00132
D001930,DB11081
D001930,DB00915
D001930,DB01223
D001930,DB00543
D001930,DB00182
D001930,DB08799
D001930,DB01169
D001930,DB00126
D001930,DB01076
D001930,DB09121
D001930,DB00181
D001930,DB04115
D001930,DB00121
D001930,DB01200
D001930,DB00201
D001930,DB06774
D001930,DB00564
D001930,DB00190
D001930,DB11588
D001930,DB00515
D001930,DB01068
D001930,DB11338
D001930,DB00363
D001930,DB00907
D001930,DB01394
D001930,DB09130
D001930,DB11672
D001930,DB00531
D001930,DB00091
D001930,DB00151
D001930,DB00987
D001930,DB03619
D001930,DB01234
D001930,DB00829
D001930,DB00804
D001930,DB00255
D001930,DB00917
D001930,DB00843
D001930,DB00584
D001930,DB01225
D001930,DB00783
D001930,DB00898
D001930,DB04953
D001930,DB00142
