Disease,Drug
D008569,DB00499
D008569,DB00158
D008569,DB00947
D008569,DB00674
D008569,DB00143
D008569,DB00014
D008569,DB00502
D008569,DB04703
D008569,DB05381
D008569,DB04864
D008569,DB00741
D008569,DB01050
D008569,DB00753
D008569,DB00951
D008569,DB01221
D008569,DB00555
D008569,DB01006
D008569,DB00007
D008569,DB01202
D008569,DB01235
D008569,DB08882
D008569,DB14509
D008569,DB00186
D008569,DB13872
D008569,DB00678
D008569,DB00227
D008569,DB00657
D008569,DB00737
D008569,DB03614
D008569,DB00358
D008569,DB01065
D008569,DB01043
D008569,DB00331
D008569,DB00333
D008569,DB00134
D008569,DB00563
D008569,DB09241
D008569,DB00422
D008569,DB00959
D008569,DB01011
D008569,DB00683
D008569,DB00648
D008569,DB09282
D008569,DB00295
D008569,DB08804
D008569,DB00184
D008569,DB04743
D008569,DB00727
D008569,DB00334
D008569,DB00904
D008569,DB11130
D008569,DB01062
D008569,DB00497
D008569,DB09140
D008569,DB04930
D008569,DB01174
D008569,DB00191
D008569,DB00397
D008569,DB00252
D008569,DB00981
D008569,DB01085
D008569,DB01132
D008569,DB00670
D008569,DB00761
D008569,DB00413
D008569,DB00635
D008569,DB00387
D008569,DB00818
D008569,DB00571
D008569,DB01367
D008569,DB00206
D008569,DB06155
D008569,DB00734
D008569,DB00989
D008569,DB00412
D008569,DB00936
D008569,DB00747
D008569,DB01037
D008569,DB01236
D008569,DB00428
D008569,DB00605
D008569,DB00382
D008569,DB00820
D008569,DB00675
D008569,DB01956
D008569,DB00231
D008569,DB00624
D008569,DB01041
D008569,DB00277
D008569,DB00152
D008569,DB00599
D008569,DB00679
D008569,DB00500
D008569,DB00273
D008569,DB00519
D008569,DB00656
D008569,DB00897
D008569,DB00376
D008569,DB00313
D008569,DB00177
D008569,DB01273
D008569,DB11094
D008569,DB02546
D008569,DB01593
D008569,DB01198
D055756,DB08865
D055756,DB00317
D055756,DB00563
D008577,DB00987
D008577,DB00563
D008577,DB00635
D008579,DB04839
D008579,DB01234
D008579,DB00378
D008579,DB00367
D008579,DB00603
D008579,DB00351
D008580,DB00297
D008580,DB00987
D008580,DB01050
D008580,DB00610
D008580,DB00818
D008580,DB00811
D008580,DB00605
D008580,DB00440
D008580,DB00541
D008581,DB06736
D008581,DB06151
D008581,DB00479
D008581,DB00207
D008581,DB00355
D008581,DB00181
D008581,DB01200
D008581,DB00297
D008581,DB00493
D008581,DB00438
D008581,DB01212
D008581,DB01112
D008581,DB00446
D008581,DB00537
D008581,DB00907
D008581,DB00987
D008581,DB01234
D008581,DB00199
D008581,DB00741
D008581,DB01050
D008581,DB00328
D008581,DB01172
D008581,DB00760
D008581,DB00563
D008581,DB00916
D008581,DB01017
D008581,DB00860
D008581,DB00635
D008581,DB00550
D008581,DB01045
D008581,DB01082
D008581,DB00359
D008581,DB00795
D008581,DB00440
D008582,DB01060
D008582,DB00993
D008582,DB00181
D008582,DB00297
D008582,DB00564
D008582,DB00537
D008582,DB00987
D008582,DB00586
D008582,DB00199
D008582,DB00927
D008582,DB00529
D008582,DB01050
D008582,DB00951
D008582,DB00465
D008582,DB00555
D008582,DB00563
D008582,DB00959
D008582,DB00916
D008582,DB00788
D008582,DB00806
D008582,DB01438
D008582,DB00554
D008582,DB00635
D008582,DB00863
D008582,DB01045
D008582,DB00795
D008582,DB00263
D008582,DB00605
D008582,DB00500
D008582,DB00440
D016920,DB00479
D016920,DB01060
D016920,DB00415
D016920,DB00355
D016920,DB00274
D016920,DB00493
D016920,DB00438
D016920,DB01212
D016920,DB01112
D016920,DB00446
D016920,DB00828
D016920,DB01598
D016920,DB00760
D016920,DB00916
D016920,DB01017
D016920,DB00218
D016920,DB00607
D016920,DB00319
D016920,DB01045
D016919,DB00993
D016919,DB01234
D016919,DB00196
D016919,DB01099
D016919,DB01167
D016919,DB01026
D016919,DB01110
D016919,DB00860
D008583,DB00415
D008583,DB00578
D008583,DB00267
D008583,DB00493
D008583,DB00438
D008583,DB01212
D008583,DB00446
D008583,DB07565
D008583,DB00607
D008583,DB01082
D008584,DB00479
D008585,DB01212
D008585,DB00537
D008585,DB01017
D008585,DB01045
D008586,DB00493
D008586,DB01212
D008586,DB00446
D008586,DB01211
D008586,DB01234
D008586,DB00828
D008586,DB01045
D008587,DB01082
D008588,DB00313
D008590,DB00787
D008590,DB01060
D008590,DB01212
D008590,DB00199
D008590,DB01050
D008590,DB00951
D008590,DB00959
D008590,DB00238
D008590,DB00263
D008590,DB00541
D008591,DB00158
D008591,DB14509
D008591,DB00755
D008591,DB00313
D007706,DB09130
D020262,DB00143
D020262,DB01065
D020262,DB01043
D020262,DB00457
D020262,DB00740
D008831,DB00459
D008831,DB00564
D008831,DB00907
D008831,DB00987
D008831,DB00783
D008831,DB00898
D008831,DB00544
D008831,DB01174
D008831,DB00252
D008831,DB00818
D008831,DB00489
D008831,DB00755
D008831,DB00347
D008831,DB00313
D008831,DB00162
D055953,DB00993
D055953,DB00531
D055953,DB01097
D055953,DB00763
D055953,DB00563
D055953,DB01024
D055953,DB00860
D055953,DB00550
D008881,DB00316
D008881,DB00819
D008881,DB00918
D008881,DB00321
D008881,DB00714
D008881,DB00335
D008881,DB01076
D008881,DB00612
D008881,DB00290
D008881,DB00201
D008881,DB00564
D008881,DB00477
D008881,DB01166
D008881,DB00515
D008881,DB00907
D008881,DB01191
D008881,DB00255
D008881,DB00320
D008881,DB01075
D008881,DB00975
D008881,DB01184
D008881,DB00450
D008881,DB00216
D008881,DB00696
D008881,DB00813
D008881,DB04841
D008881,DB00998
D008881,DB00996
D008881,DB05381
D008881,DB01050
D008881,DB00458
D008881,DB00328
D008881,DB01247
D008881,DB00883
D008881,DB00465
D008881,DB00448
D008881,DB00589
D008881,DB14509
D008881,DB00678
D008881,DB00784
D008881,DB01065
D008881,DB01043
D008881,DB00454
D008881,DB00247
D008881,DB01233
D008881,DB00264
D008881,DB00471
D008881,DB01183
D008881,DB00788
D008881,DB00952
D008881,DB00627
D008881,DB00393
D008881,DB00435
D008881,DB00727
D008881,DB00904
D008881,DB00776
D008881,DB00715
D008881,DB01186
D008881,DB00780
D008881,DB00191
D008881,DB00230
D008881,DB00433
D008881,DB00571
D008881,DB00811
D008881,DB00140
D008881,DB00953
D008881,DB01104
D008881,DB00669
D008881,DB00864
D008881,DB00675
D008881,DB00372
D008881,DB00273
D008881,DB00656
D008881,DB00313
D008881,DB00570
D008881,DB00549
D008881,DB00315
D020325,DB00472
D020325,DB00998
D020325,DB00727
D020325,DB00571
D020325,DB00669
D020325,DB00864
D020325,DB00675
D020325,DB00661
D020325,DB00682
D020326,DB00320
D020326,DB00917
D020326,DB01029
D020326,DB00435
D020326,DB00727
D020326,DB00860
D020326,DB00953
D020326,DB00747
D020326,DB00669
D020326,DB00273
D020326,DB00313
D020326,DB00315
D019846,DB00864
D015877,DB00802
D015877,DB00321
D015877,DB00572
D015877,DB00490
D015877,DB00611
D015877,DB00575
D015877,DB00979
D015877,DB01151
D015877,DB00712
D015877,DB00502
D015877,DB11181
D015877,DB00327
D015877,DB01088
D015877,DB00504
D015877,DB01235
D015877,DB00333
D015877,DB00295
D015877,DB09205
D015877,DB01183
D015877,DB00393
D015877,DB00497
D015877,DB00252
D015877,DB00981
D015877,DB01085
D015877,DB00734
D015877,DB01037
D015877,DB00382
D015877,DB00376
D015877,DB00809
D017240,DB01076
D017240,DB00636
D017240,DB00900
D017240,DB00227
D017240,DB00635
D017240,DB00206
D017240,DB00641
D017240,DB00649
D017240,DB00152
D017240,DB00495
D020331,DB00907
D020331,DB00834
D020331,DB00929
D020422,DB00907
D020422,DB00531
D020422,DB00544
D020422,DB00959
D020422,DB00652
D020422,DB00175
D020422,DB00860
D020422,DB00635
D020422,DB00641
D020422,DB00755
D020422,DB00541
D016472,DB00181
D016472,DB00250
D016472,DB00746
D016472,DB01234
D016472,DB00997
D016472,DB00563
D016472,DB00435
D016472,DB01337
D016472,DB00252
D016472,DB00396
D016472,DB00541
D009069,DB06151
D009069,DB00132
D009069,DB00404
D009069,DB00915
D009069,DB01223
D009069,DB01118
D009069,DB06288
D009069,DB00321
D009069,DB00613
D009069,DB00543
D009069,DB00182
D009069,DB00415
D009069,DB00714
D009069,DB01238
D009069,DB00181
D009069,DB12783
D009069,DB00810
D009069,DB01200
D009069,DB00490
D009069,DB00201
D009069,DB00136
D009069,DB06774
D009069,DB00564
D009069,DB01136
D009069,DB00477
D009069,DB00501
D009069,DB00568
D009069,DB00537
D009069,DB00215
D009069,DB01242
D009069,DB01068
D009069,DB00575
D009069,DB00363
D009069,DB00907
D009069,DB01394
D009069,DB09130
D009069,DB11672
D009069,DB00091
D009069,DB00970
D009069,DB00694
D009069,DB03619
D009069,DB01576
D009069,DB00829
D009069,DB01119
D009069,DB00804
D009069,DB01396
D009069,DB01075
D009069,DB01184
D009069,DB00997
D009069,DB00470
D009069,DB00584
D009069,DB00199
D009069,DB00783
D009069,DB00898
D009069,DB00773
D009069,DB01276
D009069,DB00949
D009069,DB00574
D009069,DB04841
D009069,DB00472
D009069,DB00623
D009069,DB04842
D009069,DB00492
D009069,DB00996
D009069,DB00674
D009069,DB02530
D009069,DB00143
D009069,DB00502
D009069,DB01159
D009069,DB01050
D009069,DB00270
D009069,DB00555
D009069,DB01202
D009069,DB01235
D009069,DB14509
D009069,DB00186
D009069,DB00227
D009069,DB00408
D009069,DB00934
D009069,DB01065
D009069,DB01043
D009069,DB00763
D009069,DB00422
D009069,DB01233
D009069,DB00916
D009069,DB06148
D009069,DB01017
D009069,DB00295
D009069,DB01183
D009069,DB00184
D009069,DB04743
D009069,DB01595
D009069,DB04821
D009069,DB00334
D009069,DB09140
D009069,DB01626
D009069,DB00806
D009069,DB01186
D009069,DB00850
D009069,DB01174
D009069,DB00397
D009069,DB00252
D009069,DB00981
D009069,DB01085
D009069,DB01100
D009069,DB11263
D009069,DB00433
D009069,DB00818
D009069,DB00571
D009069,DB00165
D009069,DB00908
D009069,DB00468
D009069,DB01129
D009069,DB00409
D009069,DB00206
D009069,DB00740
D009069,DB00734
D009069,DB00533
D009069,DB00747
D009069,DB01104
D009069,DB00641
D009069,DB00428
D009069,DB00391
D009069,DB00675
D009069,DB01956
D009069,DB04844
D009069,DB00679
D009069,DB01623
D009069,DB00906
D009069,DB09536
D009069,DB00273
D009069,DB00519
D009069,DB00656
D009069,DB00755
D009069,DB00831
D009069,DB00376
D009069,DB01586
D009069,DB00313
D009069,DB00661
D009069,DB00570
D009069,DB00541
D009069,DB00163
D009069,DB01392
D009069,DB00962
D009069,DB00246
D009069,DB00425
D009072,DB00907
D009072,DB00975
D009072,DB00584
D009072,DB00696
D009072,DB00695
D020267,DB00201
D020267,DB00184
D020267,DB00413
D009103,DB00915
D009103,DB00993
D009103,DB00181
D009103,DB00242
D009103,DB00514
D009103,DB08908
D009103,DB01235
D009103,DB00959
D009103,DB01204
D009103,DB00704
D009103,DB00435
D009103,DB00860
D009103,DB00635
D009103,DB00908
D009103,DB12371
D009103,DB08880
D009103,DB11094
D020528,DB00181
D020528,DB00531
D020528,DB01592
D020528,DB01204
D020528,DB00864
D020529,DB00993
D020529,DB08908
D020529,DB01065
D020529,DB00959
D020529,DB01017
D020529,DB01204
D019578,DB01235
D019578,DB09205
D019578,DB00457
D009120,DB01001
D009120,DB00321
D009120,DB00381
D009120,DB00126
D009120,DB00201
D009120,DB00229
D009120,DB01161
D009120,DB00169
D009120,DB00907
D009120,DB00318
D009120,DB00148
D009120,DB01406
D009120,DB01219
D009120,DB01234
D009120,DB00829
D009120,DB00320
D009120,DB01093
D009120,DB00280
D009120,DB00584
D009120,DB00712
D009120,DB00529
D009120,DB00502
D009120,DB00999
D009120,DB00227
D009120,DB00603
D009120,DB00763
D009120,DB00524
D009120,DB00211
D009120,DB00929
D009120,DB00295
D009120,DB01183
D009120,DB01115
D009120,DB01229
D009120,DB00960
D009120,DB14500
D009120,DB00175
D009120,DB00635
D009120,DB00339
D009120,DB00468
D009120,DB00641
D009120,DB00605
D009120,DB00864
D009120,DB00871
D009120,DB01041
D009120,DB00755
D009120,DB00313
D009120,DB00570
D009120,DB00541
D009120,DB00163
D009120,DB00315
D009122,DB00321
D009122,DB00181
D009122,DB01242
D009122,DB00907
D009122,DB01219
D009122,DB01151
D009122,DB00829
D009122,DB00917
D009122,DB00450
D009122,DB00584
D009122,DB00502
D009122,DB00454
D009122,DB01233
D009122,DB00834
D009122,DB00295
D009122,DB00334
D009122,DB01173
D009122,DB00252
D009122,DB00433
D009122,DB01069
D009122,DB00818
D009122,DB00734
D009122,DB00202
D009122,DB00391
D009122,DB00679
D009123,DB00181
D009123,DB00169
D009123,DB00215
D009123,DB01242
D009123,DB00363
D009123,DB09130
D009123,DB00829
D009123,DB01205
D009123,DB01221
D009123,DB00281
D009123,DB14509
D009123,DB00563
D009123,DB00834
D009123,DB00929
D009123,DB00295
D009123,DB01183
D009123,DB01595
D009123,DB00313
D009123,DB00541
D009127,DB00802
D009127,DB00915
D009127,DB00543
D009127,DB00714
D009127,DB00572
D009127,DB00181
D009127,DB01200
D009127,DB00297
D009127,DB00190
D009127,DB00477
D009127,DB00604
D009127,DB00215
D009127,DB00575
D009127,DB00363
D009127,DB00907
D009127,DB01219
D009127,DB00633
D009127,DB00829
D009127,DB00804
D009127,DB01075
D009127,DB01184
D009127,DB00843
D009127,DB00450
D009127,DB00228
D009127,DB00668
D009127,DB00292
D009127,DB00813
D009127,DB01205
D009127,DB00623
D009127,DB00176
D009127,DB00502
D009127,DB01159
D009127,DB01247
D009127,DB11757
D009127,DB01221
D009127,DB00504
D009127,DB01235
D009127,DB00589
D009127,DB14509
D009127,DB00784
D009127,DB00454
D009127,DB00563
D009127,DB00968
D009127,DB00422
D009127,DB01233
D009127,DB01336
D009127,DB00683
D009127,DB00295
D009127,DB01183
D009127,DB00788
D009127,DB01149
D009127,DB00627
D009127,DB00585
D009127,DB00334
D009127,DB00904
D009127,DB00776
D009127,DB01337
D009127,DB01626
D009127,DB00715
D009127,DB01186
D009127,DB00850
D009127,DB00780
D009127,DB00925
D009127,DB00670
D009127,DB00413
D009127,DB00457
D009127,DB00387
D009127,DB00818
D009127,DB00571
D009127,DB00899
D009127,DB00409
D009127,DB00206
D009127,DB00734
D009127,DB00989
D009127,DB00728
D009127,DB00296
D009127,DB06335
D009127,DB00747
D009127,DB01037
D009127,DB01082
D009127,DB00202
D009127,DB00708
D009127,DB00277
D009127,DB00599
D009127,DB00679
D009127,DB01623
D009127,DB00193
D009127,DB00752
D009127,DB00656
D009127,DB00831
D009127,DB00376
D009127,DB00313
D009127,DB01392
D009127,DB00246
D009127,DB00909
D009128,DB00181
D009128,DB00564
D009128,DB00575
D009128,DB00907
D009128,DB01576
D009128,DB00228
D009128,DB00813
D009128,DB00472
D009128,DB00753
D009128,DB01235
D009128,DB00281
D009128,DB01043
D009128,DB00563
D009128,DB00295
D009128,DB01183
D009128,DB01337
D009128,DB00252
D009128,DB00433
D009128,DB01104
D009128,DB00599
D009128,DB00697
D018908,DB00819
D018908,DB00518
D018908,DB00915
D018908,DB11640
D018908,DB01118
D018908,DB00613
D018908,DB00714
D018908,DB01076
D018908,DB00572
D018908,DB00993
D018908,DB00181
D018908,DB00443
D018908,DB01393
D018908,DB00290
D018908,DB00297
D018908,DB00201
D018908,DB09061
D018908,DB00564
D018908,DB00389
D018908,DB00439
D018908,DB00608
D018908,DB00310
D018908,DB00515
D018908,DB01211
D018908,DB00636
D018908,DB00363
D018908,DB00907
D018908,DB01394
D018908,DB11672
D018908,DB00531
D018908,DB00091
D018908,DB00987
D018908,DB01219
D018908,DB00250
D018908,DB01234
D018908,DB00829
D018908,DB01093
D018908,DB01248
D018908,DB00843
D018908,DB01142
D018908,DB00997
D018908,DB01010
D018908,DB01039
D018908,DB01241
D018908,DB01170
D018908,DB01109
D018908,DB00756
D018908,DB00999
D018908,DB00741
D018908,DB01611
D018908,DB00808
D018908,DB00270
D018908,DB01167
D018908,DB01172
D018908,DB01026
D018908,DB00448
D018908,DB00367
D018908,DB14509
D018908,DB00186
D018908,DB00227
D018908,DB00653
D018908,DB00772
D018908,DB00358
D018908,DB00814
D018908,DB00763
D018908,DB00563
D018908,DB00968
D018908,DB00959
D018908,DB00379
D018908,DB00683
D018908,DB00211
D018908,DB01017
D018908,DB00648
D018908,DB00295
D018908,DB01024
D018908,DB01400
D018908,DB00698
D018908,DB00338
D018908,DB01229
D018908,DB01337
D018908,DB01113
D018908,DB00914
D018908,DB00252
D018908,DB14500
D018908,DB00860
D018908,DB00635
D018908,DB01035
D018908,DB00818
D018908,DB00571
D018908,DB00908
D018908,DB01129
D018908,DB00912
D018908,DB01045
D018908,DB00734
D018908,DB00728
D018908,DB00641
D018908,DB00877
D018908,DB00489
D018908,DB00605
D018908,DB00864
D018908,DB00675
D018908,DB01956
D018908,DB01265
D018908,DB00759
D018908,DB01041
D018908,DB00373
D018908,DB00620
D018908,DB00685
D018908,DB00313
D018908,DB00661
D018908,DB00570
D018908,DB00541
D018908,DB00309
D018908,DB11094
D018908,DB00163
D018908,DB00582
D018908,DB00495
D009133,DB01118
D009133,DB01169
D009133,DB00297
D009133,DB00608
D009133,DB11136
D009133,DB00537
D009133,DB00515
D009133,DB01407
D009133,DB00636
D009133,DB00907
D009133,DB01394
D009133,DB00148
D009133,DB00250
D009133,DB00746
D009133,DB01234
D009133,DB00741
D009133,DB14539
D009133,DB00762
D009133,DB00959
D009133,DB00834
D009133,DB00184
D009133,DB01337
D009133,DB00652
D009133,DB00860
D009133,DB00635
D009133,DB01045
D009133,DB00641
D009133,DB01082
D009133,DB01956
D009133,DB00624
D009133,DB00759
D009133,DB00620
D009133,DB01199
D009133,DB00541
D009133,DB00163
D009133,DB00495
D009134,DB11672
D009135,DB01418
D009135,DB00459
D009135,DB01001
D009135,DB00513
D009135,DB01118
D009135,DB00415
D009135,DB01169
D009135,DB00126
D009135,DB01076
D009135,DB00572
D009135,DB09121
D009135,DB00207
D009135,DB00443
D009135,DB01393
D009135,DB14083
D009135,DB00887
D009135,DB00297
D009135,DB00611
D009135,DB00201
D009135,DB00146
D009135,DB00439
D009135,DB00446
D009135,DB08936
D009135,DB00475
D009135,DB00608
D009135,DB01114
D009135,DB00477
D009135,DB00310
D009135,DB00537
D009135,DB00515
D009135,DB00215
D009135,DB00636
D009135,DB01394
D009135,DB00148
D009135,DB11672
D009135,DB00531
D009135,DB00091
D009135,DB01406
D009135,DB01219
D009135,DB01234
D009135,DB00647
D009135,DB00829
D009135,DB00586
D009135,DB00343
D009135,DB00917
D009135,DB01248
D009135,DB00668
D009135,DB00898
D009135,DB00973
D009135,DB00949
D009135,DB01039
D009135,DB01216
D009135,DB01195
D009135,DB00687
D009135,DB00544
D009135,DB00623
D009135,DB01095
D009135,DB00158
D009135,DB00996
D009135,DB00674
D009135,DB00483
D009135,DB00441
D009135,DB01241
D009135,DB00400
D009135,DB01159
D009135,DB05381
D009135,DB00999
D009135,DB00741
D009135,DB01611
D009135,DB01050
D009135,DB00458
D009135,DB00808
D009135,DB01592
D009135,DB00677
D009135,DB00982
D009135,DB01026
D009135,DB00598
D009135,DB04398
D009135,DB00709
D009135,DB00007
D009135,DB00848
D009135,DB00281
D009135,DB14509
D009135,DB00227
D009135,DB00653
D009135,DB01043
D009135,DB14123
D009135,DB00454
D009135,DB00961
D009135,DB00331
D009135,DB00563
D009135,DB00968
D009135,DB00422
D009135,DB00959
D009135,DB00247
D009135,DB01017
D009135,DB01226
D009135,DB01024
D009135,DB00220
D009135,DB01400
D009135,DB00627
D009135,DB01165
D009135,DB00334
D009135,DB00338
D009135,DB01083
D009135,DB01229
D009135,DB01337
D009135,DB00213
D009135,DB00487
D009135,DB00022
D009135,DB00652
D009135,DB00806
D009135,DB00850
D009135,DB01174
D009135,DB00946
D009135,DB00388
D009135,DB00252
D009135,DB01132
D009135,DB14500
D009135,DB00175
D009135,DB00860
D009135,DB00635
D009135,DB01035
D009135,DB00721
D009135,DB00818
D009135,DB00571
D009135,DB00339
D009135,DB00119
D009135,DB00811
D009135,DB01045
D009135,DB00728
D009135,DB00412
D009135,DB00778
D009135,DB00641
D009135,DB00877
D009135,DB00464
D009135,DB00649
D009135,DB00202
D009135,DB00708
D009135,DB00605
D009135,DB00382
D009135,DB00864
D009135,DB00820
D009135,DB01265
D009135,DB00871
D009135,DB00599
D009135,DB00656
D009135,DB00620
D009135,DB00376
D009135,DB01199
D009135,DB00313
D009135,DB00570
D009135,DB00309
D009135,DB00361
D009135,DB00162
D009135,DB00163
D009135,DB00682
D009135,DB00495
D009136,DB01626
D009136,DB00867
D009136,DB00163
D020388,DB09061
D020388,DB00678
D020388,DB00959
D020388,DB00860
D020388,DB01956
D009155,DB00477
D009155,DB00907
D009155,DB01181
D009155,DB00333
D009155,DB00563
D009155,DB00252
D009155,DB00818
D009155,DB00864
D009155,DB00831
D063806,DB01012
D063806,DB04930
D063806,DB00728
D063806,DB00641
D063806,DB00202
D063806,DB11094
D009157,DB01193
D009157,DB00572
D009157,DB00993
D009157,DB00207
D009157,DB00608
D009157,DB01068
D009157,DB00907
D009157,DB00091
D009157,DB00746
D009157,DB01234
D009157,DB01010
D009157,DB00199
D009157,DB00200
D009157,DB00367
D009157,DB14509
D009157,DB00653
D009157,DB00763
D009157,DB01028
D009157,DB00959
D009157,DB01024
D009157,DB01400
D009157,DB00698
D009157,DB01165
D009157,DB00022
D009157,DB00252
D009157,DB00175
D009157,DB00860
D009157,DB00635
D009157,DB01035
D009157,DB01182
D009157,DB00811
D009157,DB00503
D009157,DB01104
D009157,DB00641
D009157,DB00864
D009157,DB00376
D009157,DB00347
D009157,DB00661
D020294,DB00472
D017590,DB00531
D017590,DB00898
D017590,DB00695
D017590,DB00563
D017590,DB00864
D009187,DB00987
D009187,DB00330
D009187,DB00492
D009187,DB01275
D009187,DB00741
D009187,DB00563
D009187,DB01115
D009188,DB00987
D009188,DB00563
D009188,DB00570
D020191,DB01174
D020191,DB00252
D020191,DB00909
D020190,DB00819
D020190,DB01202
D020190,DB00313
D009207,DB00316
D009207,DB06151
D009207,DB00787
D009207,DB01001
D009207,DB00802
D009207,DB00915
D009207,DB01118
D009207,DB00321
D009207,DB00381
D009207,DB00714
D009207,DB00335
D009207,DB00572
D009207,DB00995
D009207,DB00181
D009207,DB00443
D009207,DB00810
D009207,DB01200
D009207,DB00297
D009207,DB01156
D009207,DB00490
D009207,DB00564
D009207,DB00190
D009207,DB00274
D009207,DB00229
D009207,DB00438
D009207,DB01112
D009207,DB00477
D009207,DB00501
D009207,DB00537
D009207,DB00215
D009207,DB00349
D009207,DB01242
D009207,DB01068
D009207,DB00575
D009207,DB00363
D009207,DB00318
D009207,DB00924
D009207,DB00260
D009207,DB00847
D009207,DB00970
D009207,DB01219
D009207,DB01151
D009207,DB01234
D009207,DB00633
D009207,DB01576
D009207,DB00514
D009207,DB00829
D009207,DB00586
D009207,DB00822
D009207,DB00841
D009207,DB00843
D009207,DB01142
D009207,DB00450
D009207,DB00228
D009207,DB00199
D009207,DB00292
D009207,DB00927
D009207,DB00813
D009207,DB01195
D009207,DB00322
D009207,DB01205
D009207,DB00472
D009207,DB00176
D009207,DB00441
D009207,DB00502
D009207,DB00327
D009207,DB01181
D009207,DB01598
D009207,DB00458
D009207,DB01247
D009207,DB00951
D009207,DB01221
D009207,DB00555
D009207,DB00448
D009207,DB01235
D009207,DB00281
D009207,DB14509
D009207,DB00186
D009207,DB00653
D009207,DB00934
D009207,DB00657
D009207,DB00358
D009207,DB01043
D009207,DB00454
D009207,DB00331
D009207,DB00333
D009207,DB00474
D009207,DB01403
D009207,DB00422
D009207,DB00247
D009207,DB01233
D009207,DB00916
D009207,DB00379
D009207,DB00683
D009207,DB00295
D009207,DB01183
D009207,DB01149
D009207,DB00699
D009207,DB00184
D009207,DB01115
D009207,DB00540
D009207,DB00334
D009207,DB01173
D009207,DB00776
D009207,DB00715
D009207,DB00487
D009207,DB00312
D009207,DB00806
D009207,DB00780
D009207,DB00925
D009207,DB00692
D009207,DB00252
D009207,DB00981
D009207,DB01085
D009207,DB00175
D009207,DB00457
D009207,DB00750
D009207,DB01035
D009207,DB01069
D009207,DB01182
D009207,DB00818
D009207,DB00571
D009207,DB00852
D009207,DB00899
D009207,DB00206
D009207,DB00728
D009207,DB00296
D009207,DB01104
D009207,DB00708
D009207,DB00382
D009207,DB00864
D009207,DB00372
D009207,DB00599
D009207,DB01607
D009207,DB00208
D009207,DB00797
D009207,DB00273
D009207,DB00193
D009207,DB00302
D009207,DB00752
D009207,DB00656
D009207,DB00620
D009207,DB00440
D009207,DB00792
D009207,DB00427
D009207,DB00313
D009207,DB00661
D009207,DB01080
D009207,DB01392
D020385,DB00363
D009220,DB01118
D009220,DB01076
D009220,DB01393
D009220,DB00921
D009220,DB01156
D009220,DB00564
D009220,DB00389
D009220,DB00515
D009220,DB01211
D009220,DB00636
D009220,DB01234
D009220,DB00997
D009220,DB00472
D009220,DB01241
D009220,DB00400
D009220,DB01005
D009220,DB00007
D009220,DB00281
D009220,DB00227
D009220,DB00961
D009220,DB00331
D009220,DB00563
D009220,DB01149
D009220,DB00252
D009220,DB00175
D009220,DB00860
D009220,DB00635
D009220,DB01035
D009220,DB00396
D009220,DB00550
D009220,DB00641
D009220,DB00864
D009220,DB00755
D009220,DB00197
D009220,DB00682
D018979,DB00635
D018979,DB00641
D009222,DB00819
D009222,DB01394
D009222,DB00175
D009222,DB00818
D009222,DB00571
D009222,DB00202
D009222,DB01199
D009224,DB00819
D009224,DB00564
D009224,DB00252
D009224,DB00468
D009224,DB01056
D020967,DB00819
D020967,DB01394
D020967,DB00867
D020967,DB00202
D020967,DB00541
D009223,DB00564
D009223,DB01115
D009223,DB00252
D009223,DB00571
D000081030,DB00297
D009290,DB00182
D009290,DB01576
D009290,DB00579
D009290,DB00422
D009290,DB00745
D009290,DB00295
D009290,DB00312
D009290,DB00780
D009290,DB09072
D009347,DB00434
D009408,DB01418
D009408,DB00720
D009408,DB00652
D009408,DB11094
D009408,DB00682
D018317,DB00675
D009421,DB00523
D009421,DB00564
D009421,DB00907
D009421,DB09130
D009421,DB09131
D009421,DB00531
D009421,DB00987
D009421,DB01234
D009421,DB00586
D009421,DB00255
D009421,DB00783
D009421,DB00898
D009421,DB00158
D009421,DB00982
D009421,DB00929
D009421,DB01024
D009421,DB00184
D009421,DB00252
D009421,DB01085
D009421,DB01041
D009421,DB00755
D009421,DB00313
D009423,DB11672
D009423,DB00987
D009423,DB00563
D009423,DB00252
D009437,DB00787
D009437,DB00321
D009437,DB00810
D009437,DB00188
D009437,DB00297
D009437,DB06774
D009437,DB00564
D009437,DB01242
D009437,DB01068
D009437,DB00531
D009437,DB00091
D009437,DB01151
D009437,DB01234
D009437,DB00586
D009437,DB00997
D009437,DB00470
D009437,DB03843
D009437,DB00996
D009437,DB01221
D009437,DB01026
D009437,DB00555
D009437,DB00480
D009437,DB01106
D009437,DB00281
D009437,DB00934
D009437,DB14123
D009437,DB00454
D009437,DB00959
D009437,DB00379
D009437,DB00295
D009437,DB00497
D009437,DB01229
D009437,DB00635
D009437,DB00230
D009437,DB00412
D009437,DB00421
D009437,DB00649
D009437,DB00428
D009437,DB00864
D009437,DB00624
D009437,DB00759
D009437,DB00273
D009437,DB00193
D009437,DB00541
D009437,DB00361
D009437,DB00943
D009437,DB00909
D051474,DB00297
D051474,DB06774
D051474,DB00564
D051474,DB01239
D051474,DB00216
D051474,DB00898
D051474,DB00996
D051474,DB01221
D051474,DB00281
D051474,DB00959
D051474,DB00540
D051474,DB00669
D051474,DB00193
D009436,DB00316
D009436,DB06151
D009436,DB00787
D009436,DB00321
D009436,DB01238
D009436,DB01169
