Disease1,Disease2,Sim_score
D000170,D005155,0.1595281537456426
D000170,D005156,0.14750976892439777
D000170,D005158,0.13441080441996284
D000170,D005207,0.11381987253373327
D000170,D005356,0.3157597541012791
D000170,D005600,0.11638382109654444
D000170,D005621,0.11071643329411425
D000170,D005645,0.10241988416924963
D000170,D005693,0.11113919463307702
D000170,D005733,0.11925016730464047
D000170,D005776,0.11469539237085402
D000170,D005862,0.10612609428704134
D000170,D005879,0.11605613991439201
D000170,D006009,0.10865918780505916
D000170,D006014,0.23178962501219233
D000170,D006211,0.10713504185445377
D000170,D006212,0.13185671531137738
D000170,D006250,0.10369879749726804
D000170,D006259,0.19443293351047775
D000170,D006311,0.17788603147413592
D000170,D006312,0.11210131588617804
D000170,D006313,0.10599086237610895
D000170,D006314,0.11420219828151379
D000170,D006315,0.1056408817979259
D000170,D006316,0.10983526193843414
D000170,D006317,0.12272973604440005
D000170,D006319,0.14615964505430906
D000170,D006407,0.1111924176855769
D000170,D006408,0.12738979931704658
D000170,D006423,0.11332911484461985
D000170,D006429,0.13563345723186498
D000170,D006501,0.12895726512599387
D000170,D006527,0.1174744326281431
D000170,D006610,0.11371773050731766
D000170,D006623,0.11637063439668109
D000170,D006685,0.11483609253526864
D000170,D006712,0.10817200450703483
D000170,D006732,0.11306406733514278
D000170,D006816,0.1279901252430159
D000170,D006832,0.1163349791005355
D000170,D006849,0.14837718257621874
D000170,D006850,0.11519344603489053
D000170,D006930,0.1320556024923655
D000170,D006941,0.11203498611595705
D000170,D006948,0.11849689238149323
D000170,D006964,0.14380750308777535
D000170,D006966,0.1127321329783199
D000170,D006970,0.13152987490778942
D000170,D006987,0.11546028392066918
D000170,D007018,0.1308878708774428
D000170,D007024,0.12048245279964076
D000170,D007027,0.18054926774398086
D000170,D007029,0.1532721582234005
D000170,D007088,0.12920779217177752
D000170,D007177,0.11186437579721613
D000170,D007319,0.1320384137594557
D000170,D007331,0.10693935428753824
D000170,D007562,0.12286306070721113
D000170,D007572,0.1356238777734609
D000170,D007625,0.2552485340883659
D000170,D007647,0.10836816572530039
D000170,D007706,0.10614574709954505
D000170,D007729,0.11029980928099403
D000170,D007805,0.122335339
D000170,D007806,0.1672717431511843
D000170,D007849,0.10935333955568383
D000170,D007859,0.14743682215387244
D000170,D007888,0.10811492131033373
D000170,D007926,0.10734602557536792
D000170,D007965,0.10566951420556392
D000170,D007966,0.10623942642994573
D000170,D007968,0.10969067371696725
D000170,D007969,0.11067640767430442
D000170,D008216,0.11103553669308253
D000170,D008337,0.12138389805017642
D000170,D008338,0.11103228252102562
D000170,D008375,0.10895598448793624
D000170,D008440,0.11000242923244648
D000170,D008446,0.15092431487012464
D000170,D008538,0.10782583876799039
D000170,D008556,0.11386318612101268
D000170,D008569,0.15293623086309616
D000170,D008577,0.15434319489773102
D000170,D008579,0.13779429708433205
D000170,D008580,0.11500020487493681
D000170,D008581,0.17563065636147773
D000170,D008582,0.1182544105478135
D000170,D008583,0.11138665705577089
D000170,D008584,0.10806150262348957
